sku,brand,model_name,colorway,retail_price,release_date,days_since_release,is_limited_edition,sentiment_score,drop_frequency,volatility_score,resale_price
JOR-84405,Jordan,Air Max 90,Triple Black,177,2024-10-08,509,0,-0.35,20,0.61,224.05
ADI-52825,Adidas,Yeezy Boost 350,Sail,150,2025-11-11,110,0,-0.97,13,0.79,115.68
ADI-82694,Adidas,Air Force 1,Bred,178,2024-12-21,435,1,0.19000000000000003,2,0.02,744.02
NEW-94235,New Balance,550,Sail,146,2023-09-18,895,0,0.73,18,0.2,259.86
NIK-61467,Nike,Gel-Lyte III,Triple Black,136,2023-11-13,839,0,-0.41,9,0.64,116.37
ADI-47138,Adidas,Dunk Low,Triple White,118,2024-04-17,683,0,-0.27,17,0.15,115.31
NIK-34005,Nike,550,Bred,180,2024-11-10,476,0,-0.77,10,0.59,148.38
NEW-76228,New Balance,Air Max 90,Triple Black,116,2023-11-26,826,1,0.8,1,0.53,507.66
YEE-94081,Yeezy,Jordan 4,Bred,241,2024-07-29,580,0,0.0,9,0.84,210.8
NEW-81927,New Balance,Gel-Lyte III,Chicago,115,2023-11-23,829,1,0.5800000000000001,2,0.37,313.56
JOR-71351,Jordan,Jordan 4,UNC,164,2025-01-03,422,0,-0.08,12,0.62,156.91
NIK-14850,Nike,Dunk Low,Chicago,165,2025-07-18,226,0,0.93,19,0.12,292.95
NEW-63740,New Balance,550,Triple Black,118,2024-06-18,621,0,0.55,18,0.29,152.48
NIK-25527,Nike,Air Max 90,Bred,172,2023-10-01,882,0,0.71,5,0.02,221.99
ADI-73998,Adidas,Air Max 90,Mocha,119,2025-10-02,150,0,0.88,8,0.19,207.23
NEW-74517,New Balance,Yeezy Boost 350,Mocha,118,2025-08-16,197,1,1.0,3,0.33,191.82
NEW-49135,New Balance,Dunk Low,Chicago,106,2023-07-16,959,0,-0.92,13,0.97,72.9
YEE-83213,Yeezy,Air Max 90,Bred,183,2024-08-22,556,0,0.45,9,0.32,238.84
YEE-60885,Yeezy,Air Max 90,Triple Black,204,2024-12-09,447,0,0.34,19,0.04,185.53
NIK-58416,Nike,Jordan 1 Retro,Sail,158,2023-09-16,897,0,0.77,18,0.14,248.49
JOR-80186,Jordan,Yeezy Boost 350,Triple Black,242,2025-03-16,350,1,0.81,3,0.75,631.64
ASI-93083,Asics,Air Max 90,Mocha,154,2024-08-18,560,1,0.69,1,0.08,643.13
NIK-85658,Nike,Air Max 90,Mocha,117,2024-04-19,681,1,0.18000000000000002,3,0.75,461.77
ADI-87547,Adidas,Air Force 1,Sail,161,2023-07-22,953,1,0.29000000000000004,1,0.04,571.52
NIK-38090,Nike,Jordan 1 Retro,Mocha,133,2024-10-17,500,0,-0.7,10,0.17,134.23
ASI-40444,Asics,Air Force 1,Bred,129,2025-04-12,323,0,0.53,17,0.8,207.04
NEW-23130,New Balance,Dunk Low,Panda,110,2025-04-30,305,1,-0.17999999999999994,1,0.42,291.09
NIK-73584,Nike,Jordan 4,Sail,99,2025-03-18,348,1,0.36000000000000004,1,0.06,334.18
ADI-48435,Adidas,Yeezy Boost 350,Triple Black,158,2024-11-28,458,1,-0.43999999999999995,2,0.64,299.43
NEW-42695,New Balance,Jordan 4,Mocha,138,2024-07-22,587,0,0.38,12,0.4,191.63
ASI-73246,Asics,Jordan 1 Retro,Bred,172,2023-09-29,884,0,-0.25,19,0.2,219.99
ADI-69074,Adidas,Yeezy Boost 350,Bred,120,2025-09-09,173,0,0.56,7,0.78,181.7
JOR-95169,Jordan,Yeezy Boost 350,Chicago,185,2025-11-09,112,0,-0.95,8,0.42,210.11
ADI-56012,Adidas,Gel-Lyte III,Sail,134,2025-03-22,344,0,0.02,20,0.75,112.14
ASI-43798,Asics,Air Force 1,Triple Black,113,2023-08-14,930,0,0.7,16,0.93,139.11
ADI-92603,Adidas,Air Force 1,Chicago,104,2024-10-07,510,1,0.21000000000000002,1,0.88,434.07
NEW-43920,New Balance,Dunk Low,Bred,136,2026-01-25,35,0,0.02,14,0.26,134.96
ASI-30941,Asics,550,UNC,97,2025-09-24,158,0,0.66,14,0.73,107.29
JOR-96559,Jordan,Air Force 1,Bred,231,2024-02-04,756,0,0.15,17,0.91,288.75
JOR-47594,Jordan,Jordan 1 Retro,Bred,221,2023-12-07,815,0,0.32,17,0.98,249.2
ASI-98529,Asics,Air Max 90,Triple Black,122,2023-12-11,811,0,0.52,8,0.67,134.26
JOR-28275,Jordan,Air Max 90,Chicago,157,2025-07-02,242,1,0.63,2,0.15,445.5
NIK-84774,Nike,Air Force 1,UNC,179,2025-11-03,118,1,-0.10999999999999999,1,0.92,441.29
NEW-96143,New Balance,550,Bred,146,2024-04-22,678,1,0.020000000000000018,3,0.94,654.72
NEW-18655,New Balance,Gel-Lyte III,Triple White,141,2024-10-25,492,0,-0.17,5,0.73,168.95
ADI-50076,Adidas,Jordan 4,Triple White,137,2024-04-06,694,0,-0.82,8,0.79,172.63
NIK-99813,Nike,Jordan 1 Retro,Panda,91,2025-11-07,114,0,0.68,11,0.63,127.04
NEW-14266,New Balance,550,Sail,121,2024-09-09,538,1,0.5800000000000001,1,0.83,476.24
ADI-48215,Adidas,Jordan 1 Retro,UNC,93,2024-03-29,702,1,0.42000000000000004,1,0.65,243.64
ADI-43001,Adidas,Air Force 1,Mocha,127,2025-12-14,77,0,0.25,17,0.07,139.04
JOR-47284,Jordan,Gel-Lyte III,Mocha,156,2025-09-30,152,0,-0.64,16,0.22,139.42
JOR-47868,Jordan,Jordan 1 Retro,Triple Black,248,2024-09-01,546,0,-0.56,8,0.65,153.88
ADI-64178,Adidas,Yeezy Boost 350,Panda,106,2025-07-23,221,0,0.34,5,0.93,87.93
JOR-78983,Jordan,Gel-Lyte III,Triple White,159,2023-11-06,846,1,0.34,2,0.94,650.08
ADI-57749,Adidas,Air Force 1,Panda,141,2025-08-06,207,0,-0.84,8,0.85,121.19
YEE-79469,Yeezy,Air Force 1,Mocha,174,2024-05-05,665,0,-0.01,14,0.83,181.82
NIK-13742,Nike,Jordan 1 Retro,Panda,154,2025-06-04,270,1,1.0,2,0.6,497.51
ADI-90738,Adidas,Dunk Low,Sail,135,2025-06-12,262,0,0.67,12,0.05,162.5
ASI-37277,Asics,Dunk Low,Bred,129,2024-07-26,583,0,0.46,18,0.34,133.31
JOR-87373,Jordan,Gel-Lyte III,Triple Black,230,2025-10-16,136,0,-0.33,15,0.3,336.13
YEE-41646,Yeezy,Air Max 90,Triple White,183,2024-03-20,711,0,-0.67,16,0.24,182.11
NEW-25755,New Balance,Yeezy Boost 350,Bred,161,2025-11-16,105,0,-0.03,13,0.89,224.42
NEW-11269,New Balance,Air Max 90,Sail,177,2023-09-01,912,0,-0.44,18,0.21,197.33
ADI-71502,Adidas,Air Force 1,Sail,166,2025-07-19,225,0,-0.52,19,0.54,152.63
YEE-35209,Yeezy,Jordan 1 Retro,Panda,161,2025-02-28,366,0,-0.93,15,0.14,205.7
ASI-72605,Asics,Jordan 1 Retro,Panda,101,2023-06-23,982,0,-0.86,19,0.21,125.16
ASI-45142,Asics,Yeezy Boost 350,Bred,148,2024-10-31,486,0,-0.61,16,0.48,151.7
JOR-18027,Jordan,Dunk Low,Chicago,217,2026-01-21,39,0,0.39,17,1.0,177.77
YEE-16524,Yeezy,Jordan 4,Chicago,205,2024-06-07,632,0,0.83,13,0.71,357.27
ASI-14045,Asics,Jordan 4,Mocha,158,2023-11-27,825,0,-0.08,9,0.9,199.27
YEE-44355,Yeezy,Dunk Low,Mocha,180,2025-11-12,109,1,0.040000000000000036,3,0.29,343.55
JOR-14815,Jordan,Yeezy Boost 350,Bred,154,2025-03-30,336,0,-0.75,17,0.86,200.05
NIK-42140,Nike,Jordan 1 Retro,Triple Black,155,2026-01-19,41,1,0.54,2,0.65,450.38
NEW-41823,New Balance,Gel-Lyte III,Mocha,103,2025-06-13,261,1,0.46,3,0.38,214.85
NIK-39564,Nike,Gel-Lyte III,Panda,132,2025-07-31,213,0,-0.1,13,0.31,182.05
NIK-86894,Nike,Dunk Low,UNC,106,2024-01-25,766,0,-0.45,8,0.77,91.74
YEE-12095,Yeezy,Air Max 90,Triple White,201,2025-09-09,173,0,0.6,17,0.46,336.0
YEE-40587,Yeezy,Yeezy Boost 350,Triple White,218,2025-09-01,181,0,0.16,14,0.2,214.67
NIK-68806,Nike,Gel-Lyte III,Chicago,153,2025-09-01,181,0,0.26,11,0.33,152.58
ASI-46240,Asics,Air Max 90,Bred,179,2024-08-19,559,0,0.7,20,0.72,258.96
NIK-60842,Nike,550,Sail,140,2024-02-12,748,0,0.47,14,0.93,148.06
JOR-52314,Jordan,Jordan 1 Retro,Triple Black,235,2024-06-18,621,0,-0.9,6,0.41,262.83
YEE-70270,Yeezy,Yeezy Boost 350,Panda,239,2023-12-28,794,0,0.81,10,0.2,309.1
NEW-19419,New Balance,Gel-Lyte III,Mocha,139,2026-01-04,56,1,0.74,3,0.23,320.43
JOR-82880,Jordan,Gel-Lyte III,UNC,193,2025-10-05,147,0,-0.1,8,0.15,164.68
ASI-76056,Asics,Gel-Lyte III,Chicago,132,2025-12-04,87,0,0.62,13,0.96,152.12
NEW-51818,New Balance,Yeezy Boost 350,Sail,172,2023-12-26,796,1,0.35000000000000003,2,0.09,614.21
NEW-42605,New Balance,550,Sail,152,2023-10-05,878,1,0.33,2,0.99,727.79
ADI-78055,Adidas,Jordan 4,Panda,152,2024-05-12,658,1,0.9500000000000001,2,0.97,665.03
ASI-20617,Asics,Air Force 1,Sail,133,2026-02-11,18,1,0.41000000000000003,2,0.97,271.58
YEE-83918,Yeezy,Jordan 4,Triple White,172,2026-01-01,59,1,0.27,2,0.49,350.15
NEW-58809,New Balance,Dunk Low,Bred,91,2023-09-28,885,1,0.48000000000000004,1,0.15,350.17
ADI-43198,Adidas,Air Max 90,Panda,136,2024-09-25,522,0,0.77,5,0.5,182.28
NEW-17814,New Balance,550,Mocha,114,2023-12-09,813,0,0.05,6,0.91,100.84
ADI-67382,Adidas,Dunk Low,Chicago,129,2025-05-10,295,0,-0.45,8,0.46,191.14
NIK-75998,Nike,Jordan 1 Retro,Sail,119,2024-12-20,436,1,0.42000000000000004,1,0.94,362.32
NEW-96419,New Balance,Air Force 1,Sail,97,2025-09-05,177,0,0.52,12,0.28,119.35
NEW-63723,New Balance,Yeezy Boost 350,Sail,154,2026-02-17,12,0,-0.99,18,0.15,120.46
ADI-18059,Adidas,Jordan 4,UNC,143,2026-01-18,42,0,0.55,9,0.26,217.32
ADI-41226,Adidas,Gel-Lyte III,Chicago,98,2024-02-05,755,0,-0.37,6,0.54,134.14
JOR-40628,Jordan,Dunk Low,Triple White,247,2024-01-13,778,1,1.0,2,0.58,1043.99
ASI-83681,Asics,550,Panda,159,2025-09-19,163,0,0.82,20,0.32,180.16
ASI-33301,Asics,Air Force 1,Chicago,97,2024-01-09,782,1,-0.06,1,0.08,316.26
ASI-77329,Asics,Jordan 1 Retro,Chicago,153,2024-12-14,442,1,-0.53,2,0.8,440.16
ADI-27625,Adidas,Jordan 4,Bred,178,2025-09-03,179,0,-0.67,6,0.42,224.4
JOR-82741,Jordan,Jordan 1 Retro,UNC,243,2023-07-25,950,0,0.36,17,0.48,364.33
ADI-91681,Adidas,Air Max 90,Panda,112,2025-10-13,139,0,0.71,15,0.58,151.22
ASI-75252,Asics,Yeezy Boost 350,Sail,168,2024-09-29,518,0,-0.71,11,0.42,193.59
JOR-24208,Jordan,Dunk Low,Triple White,227,2024-02-19,741,0,-0.14,9,0.23,330.97
ADI-70514,Adidas,Jordan 1 Retro,Mocha,130,2023-10-16,867,1,1.0,2,0.56,453.97
NIK-31046,Nike,Air Max 90,Triple White,150,2025-11-24,97,0,0.47,10,0.96,131.74
YEE-47583,Yeezy,Gel-Lyte III,Mocha,219,2023-10-08,875,0,-0.31,14,0.64,177.37
NIK-73359,Nike,Yeezy Boost 350,Triple Black,121,2024-01-27,764,1,-0.2899999999999999,1,0.88,578.96
ASI-86272,Asics,Jordan 4,Triple White,177,2025-01-05,420,0,-0.39,12,0.73,204.24
NEW-79888,New Balance,Gel-Lyte III,UNC,144,2024-03-17,714,1,0.45,2,0.58,569.52
NIK-34935,Nike,Yeezy Boost 350,Triple Black,121,2025-03-12,354,0,0.77,17,0.12,155.36
ADI-25818,Adidas,Dunk Low,Sail,163,2024-03-25,706,0,-0.83,20,0.89,184.4
ASI-39620,Asics,Dunk Low,UNC,91,2023-11-10,842,0,-0.9,10,0.14,63.34
ADI-15223,Adidas,Gel-Lyte III,Triple Black,175,2026-02-07,22,0,0.3,7,0.85,141.26
ADI-96630,Adidas,Air Force 1,Panda,137,2025-12-22,69,0,0.94,9,0.03,192.06
NIK-98312,Nike,Gel-Lyte III,Sail,116,2025-04-26,309,0,-0.34,18,0.59,152.74
ASI-62692,Asics,Jordan 4,Panda,178,2024-12-30,426,0,-0.12,8,0.33,217.16
YEE-84358,Yeezy,Gel-Lyte III,Chicago,150,2024-08-23,555,0,-0.24,14,0.25,210.21
YEE-49678,Yeezy,Jordan 1 Retro,Mocha,190,2025-02-15,379,1,0.08000000000000002,2,0.11,729.81
ADI-84750,Adidas,Gel-Lyte III,Triple Black,124,2023-12-05,817,0,0.93,8,0.28,138.36
YEE-74892,Yeezy,Dunk Low,Mocha,232,2024-09-25,522,0,-0.79,13,0.49,198.37
NIK-19282,Nike,550,Triple Black,151,2023-11-14,838,0,-0.75,18,0.55,170.36
NIK-89533,Nike,Jordan 4,Panda,155,2025-02-21,373,0,-0.82,20,0.79,164.03
NIK-79759,Nike,Dunk Low,Mocha,171,2025-08-14,199,0,-0.7,13,0.2,179.31
NIK-74934,Nike,Yeezy Boost 350,Bred,176,2024-12-17,439,0,0.84,15,0.78,305.86
YEE-10331,Yeezy,Gel-Lyte III,Bred,205,2024-06-16,623,0,-0.69,13,0.44,250.33
NEW-43830,New Balance,Jordan 1 Retro,Mocha,100,2023-11-12,840,1,-0.07999999999999996,2,0.93,254.6
ADI-75180,Adidas,Air Force 1,Mocha,92,2024-09-03,544,0,0.2,16,0.68,90.9
NEW-50899,New Balance,Jordan 4,Chicago,169,2026-01-12,48,0,0.38,12,0.15,136.97
JOR-24540,Jordan,Dunk Low,UNC,200,2023-07-15,960,0,-0.58,9,0.19,131.77
NEW-16320,New Balance,Gel-Lyte III,Panda,135,2024-07-18,591,1,-0.12,3,0.84,540.51
ASI-91910,Asics,Air Max 90,Mocha,115,2024-08-29,549,0,0.87,6,0.94,179.06
ADI-27758,Adidas,Air Max 90,Panda,126,2025-02-13,381,1,-0.06,1,0.93,316.93
JOR-46577,Jordan,Jordan 1 Retro,Panda,234,2024-01-13,778,0,-0.16,13,0.47,252.87
JOR-76485,Jordan,Gel-Lyte III,Chicago,206,2026-01-12,48,0,-0.93,14,0.37,263.0
NIK-10838,Nike,Yeezy Boost 350,Chicago,103,2024-09-27,520,1,-0.42999999999999994,1,0.73,440.07
JOR-93357,Jordan,550,Sail,234,2024-01-18,773,1,-0.38,2,0.02,814.53
NIK-77971,Nike,Jordan 1 Retro,Triple White,103,2025-04-02,333,0,0.61,5,0.49,176.84
ADI-60285,Adidas,Jordan 1 Retro,Chicago,135,2025-11-21,100,0,-0.29,5,0.61,194.25
ADI-19294,Adidas,550,UNC,113,2024-04-12,688,0,0.99,19,0.26,149.45
NIK-84839,Nike,Dunk Low,Mocha,120,2025-02-28,366,0,0.52,17,0.17,199.06
JOR-78504,Jordan,Jordan 1 Retro,Bred,212,2023-09-05,908,1,0.22000000000000003,1,0.53,436.02
NIK-61999,Nike,Gel-Lyte III,Bred,127,2023-12-27,795,0,0.48,7,0.82,112.89
NIK-11193,Nike,Jordan 4,Panda,114,2023-08-08,936,0,-0.6,9,0.85,89.44
ASI-44945,Asics,550,Triple White,101,2025-10-21,131,0,0.71,5,0.34,164.66
ADI-11448,Adidas,550,Mocha,123,2024-04-27,673,0,-0.03,10,0.73,134.29
NEW-25221,New Balance,Yeezy Boost 350,Chicago,158,2023-11-09,843,0,-0.28,16,0.27,154.65
ASI-52145,Asics,Jordan 4,Sail,117,2024-09-23,524,0,0.2,12,0.77,138.15
JOR-49255,Jordan,Air Max 90,Triple Black,231,2024-01-30,761,0,0.47,9,0.52,210.33
JOR-13117,Jordan,Jordan 1 Retro,Panda,182,2024-02-09,751,0,-0.18,13,0.27,238.95
NIK-94116,Nike,Air Max 90,Triple Black,180,2024-03-03,728,0,-0.95,14,0.24,225.8
YEE-43949,Yeezy,Jordan 4,UNC,224,2023-09-15,898,0,-0.09,6,0.05,218.56
JOR-78907,Jordan,550,Triple White,201,2023-10-07,876,0,-0.37,9,0.03,265.93
ADI-19082,Adidas,550,Bred,123,2025-03-22,344,1,-0.57,1,0.92,319.13
JOR-59883,Jordan,Jordan 1 Retro,Mocha,203,2024-07-27,582,0,0.53,5,0.09,226.37
ADI-57958,Adidas,Yeezy Boost 350,Chicago,134,2025-11-29,92,0,0.19,17,0.08,159.0
JOR-41523,Jordan,Dunk Low,Mocha,150,2023-11-21,831,0,0.2,19,0.29,177.84
JOR-98672,Jordan,Gel-Lyte III,Panda,219,2025-12-28,63,0,0.92,13,0.08,265.84
JOR-66798,Jordan,550,Triple White,228,2024-07-31,578,0,-0.99,12,0.56,153.45
ADI-12306,Adidas,Yeezy Boost 350,UNC,114,2025-12-19,72,0,0.12,14,0.46,148.48
NIK-55948,Nike,Gel-Lyte III,Panda,116,2023-08-03,941,1,0.69,2,0.0,320.92
JOR-69675,Jordan,Air Max 90,UNC,236,2025-11-30,91,0,0.98,14,0.54,309.52
ADI-82595,Adidas,Yeezy Boost 350,UNC,105,2025-10-09,143,0,-0.64,16,0.94,135.54
JOR-37254,Jordan,Air Max 90,Triple White,189,2023-09-18,895,1,1.0,1,0.81,898.19
ASI-52438,Asics,Air Max 90,Triple White,108,2025-10-05,147,0,-0.79,19,0.08,74.83
ASI-22307,Asics,Yeezy Boost 350,Panda,96,2025-04-09,326,1,-0.15000000000000002,3,0.85,249.02
ADI-13807,Adidas,Dunk Low,UNC,148,2023-09-28,885,1,0.92,3,0.27,409.16
JOR-95201,Jordan,Dunk Low,Mocha,227,2023-10-09,874,0,-0.94,13,0.35,232.89
NIK-74262,Nike,Jordan 1 Retro,Triple Black,175,2025-04-22,313,1,1.0,3,0.84,559.84
ADI-32971,Adidas,550,Panda,145,2024-12-12,444,1,0.28,2,0.57,474.67
JOR-33758,Jordan,Jordan 4,Bred,157,2024-01-22,769,1,-0.44999999999999996,1,0.7,703.05
ADI-43014,Adidas,Air Force 1,Triple Black,145,2025-01-04,421,1,-0.009999999999999953,3,0.26,657.04
ADI-80147,Adidas,Gel-Lyte III,Chicago,167,2024-08-16,562,0,0.99,6,0.02,225.46
ASI-93550,Asics,Air Max 90,Triple White,153,2025-10-14,138,0,-0.14,12,0.77,145.58
JOR-64934,Jordan,Jordan 1 Retro,Panda,161,2023-12-20,802,0,0.9,15,0.66,212.36
ASI-93273,Asics,Air Max 90,Bred,102,2023-12-03,819,0,-0.46,16,0.97,95.8
ASI-10265,Asics,Air Force 1,Triple Black,147,2025-12-01,90,1,-0.25,3,0.83,277.46
JOR-87153,Jordan,Jordan 1 Retro,Bred,184,2024-10-30,487,0,0.79,13,0.19,235.8
ASI-78488,Asics,Jordan 1 Retro,Panda,127,2024-05-24,646,0,0.58,12,0.51,188.77
NEW-57401,New Balance,Air Max 90,Panda,142,2024-07-05,604,0,0.52,6,0.41,239.58
ASI-27857,Asics,Yeezy Boost 350,Chicago,130,2024-02-12,748,0,-0.11,7,0.84,117.49
NEW-17826,New Balance,550,Triple White,108,2024-10-31,486,0,0.52,14,0.97,119.15
ADI-72315,Adidas,550,Sail,112,2023-09-30,883,0,0.82,12,0.36,169.01
ADI-48243,Adidas,Jordan 4,Panda,93,2024-12-27,429,1,0.32,2,0.44,326.42
JOR-20464,Jordan,Air Max 90,Panda,182,2024-02-25,735,1,0.43000000000000005,3,0.44,731.63
ADI-46149,Adidas,Yeezy Boost 350,Triple White,93,2024-01-03,788,1,0.8600000000000001,2,0.41,334.4
ASI-48901,Asics,Jordan 1 Retro,Bred,129,2026-01-10,50,0,0.4,8,0.99,177.17
NIK-76269,Nike,Air Max 90,Triple White,139,2025-11-10,111,1,0.07,3,0.14,228.37
NIK-51159,Nike,Air Max 90,UNC,150,2024-06-29,610,0,0.66,8,0.87,256.28
NIK-22104,Nike,Yeezy Boost 350,Sail,158,2023-09-20,893,0,-0.68,20,0.67,192.81
ADI-88151,Adidas,Air Force 1,Chicago,171,2025-01-11,414,1,-0.09999999999999998,1,0.05,602.53
YEE-54863,Yeezy,Jordan 1 Retro,UNC,173,2025-01-25,400,0,-0.64,18,0.23,155.66
NEW-20284,New Balance,550,Sail,111,2025-04-15,320,0,0.82,9,0.7,149.23
JOR-78787,Jordan,Jordan 1 Retro,UNC,227,2024-12-20,436,1,0.08000000000000002,1,0.6,781.39
ADI-56732,Adidas,Yeezy Boost 350,Triple White,91,2026-02-12,17,0,-0.93,18,0.23,91.87
NEW-33843,New Balance,Yeezy Boost 350,Chicago,135,2023-09-24,889,0,0.43,20,0.15,111.1
YEE-85942,Yeezy,Dunk Low,Sail,234,2024-05-29,641,1,1.0,1,0.42,1111.76
ADI-53320,Adidas,Air Max 90,UNC,111,2023-11-28,824,0,0.65,16,0.88,198.82
ASI-52052,Asics,Gel-Lyte III,Chicago,111,2025-11-20,101,0,-0.21,19,0.99,94.97
NIK-44566,Nike,Air Max 90,Sail,114,2024-12-03,453,0,-0.72,8,0.32,130.47
JOR-38421,Jordan,Gel-Lyte III,Bred,222,2025-09-05,177,0,0.96,18,0.95,294.98
ADI-33297,Adidas,Air Force 1,Sail,154,2025-01-11,414,1,0.8400000000000001,1,0.83,537.71
NEW-12995,New Balance,550,Mocha,172,2025-06-29,245,0,-0.58,19,0.17,158.57
ADI-74439,Adidas,Air Force 1,Bred,153,2025-12-03,88,0,-0.12,13,0.0,218.03
NIK-33037,Nike,Jordan 1 Retro,Bred,134,2023-08-12,932,1,-0.07999999999999996,2,0.88,555.71
ADI-98186,Adidas,Air Max 90,UNC,95,2024-01-24,767,0,-0.6,15,0.5,94.1
NEW-98211,New Balance,Jordan 4,Triple Black,179,2025-10-29,123,0,0.77,6,0.77,242.91
NIK-86720,Nike,Dunk Low,Panda,114,2024-12-06,450,0,-0.11,16,0.64,163.9
NIK-46141,Nike,Jordan 4,Triple White,162,2024-05-02,668,0,-0.84,16,0.2,146.11
NEW-29840,New Balance,550,Triple Black,97,2025-10-14,138,0,0.54,6,0.38,162.46
ASI-32347,Asics,Yeezy Boost 350,Triple White,150,2025-07-23,221,1,-0.52,2,0.41,276.94
YEE-69271,Yeezy,Air Max 90,Triple Black,163,2023-12-27,795,0,-0.43,8,0.78,186.01
ASI-20298,Asics,Jordan 1 Retro,UNC,127,2024-03-17,714,0,0.29,14,0.8,109.7
YEE-11866,Yeezy,Gel-Lyte III,Mocha,192,2024-06-27,612,0,-1.0,15,0.98,233.94
ASI-86991,Asics,Air Max 90,Triple White,157,2024-11-24,462,0,-0.26,9,0.13,192.79
NIK-45797,Nike,Dunk Low,UNC,145,2024-08-03,575,0,-0.28,18,0.93,212.48
NIK-44048,Nike,Gel-Lyte III,Triple Black,129,2023-12-13,809,0,-0.21,6,0.31,120.43
NIK-43628,Nike,Gel-Lyte III,UNC,124,2024-06-15,624,0,-0.14,15,0.79,140.14
JOR-76236,Jordan,Air Force 1,Sail,178,2024-10-24,493,0,-0.93,7,0.8,170.96
NEW-78283,New Balance,Jordan 1 Retro,Sail,172,2023-08-05,939,0,-0.18,15,0.79,242.8
YEE-48417,Yeezy,Dunk Low,UNC,234,2024-09-19,528,0,-0.63,19,0.98,174.13
NEW-53914,New Balance,Gel-Lyte III,Mocha,172,2025-03-19,347,0,0.78,12,0.66,302.51
NEW-40902,New Balance,Air Force 1,UNC,172,2025-02-06,388,0,0.86,20,0.09,232.38
NIK-54507,Nike,Jordan 1 Retro,Mocha,170,2024-08-11,567,0,0.93,7,0.46,225.28
ASI-90354,Asics,Air Force 1,Mocha,107,2025-11-26,95,1,-0.41999999999999993,2,0.86,133.55
ASI-71324,Asics,Air Max 90,Sail,106,2025-07-12,232,1,1.0,1,0.98,220.55
ASI-56452,Asics,Dunk Low,Sail,172,2024-03-02,729,0,0.76,14,0.2,274.18
ASI-18398,Asics,Jordan 4,Bred,105,2024-01-10,781,0,0.36,8,0.71,136.02
JOR-73163,Jordan,550,Sail,247,2025-02-17,377,0,-0.01,6,0.3,348.19
YEE-24388,Yeezy,550,UNC,207,2025-12-11,80,1,0.8300000000000001,2,0.02,679.14
ADI-78333,Adidas,Jordan 4,Panda,142,2024-04-18,682,0,0.21,16,0.82,192.28
ASI-86517,Asics,Air Force 1,Panda,158,2025-11-12,109,0,-0.51,18,0.95,192.55
ADI-51718,Adidas,Gel-Lyte III,Triple Black,91,2025-09-07,175,1,0.5,2,0.11,275.47
NEW-24689,New Balance,550,Sail,150,2025-07-26,218,0,0.92,20,0.37,175.04
ADI-22687,Adidas,Gel-Lyte III,Chicago,177,2025-02-14,380,1,0.55,1,0.64,647.76
ASI-88654,Asics,Dunk Low,Triple Black,115,2025-09-23,159,0,-0.39,6,0.61,131.34
NEW-97344,New Balance,Yeezy Boost 350,Bred,94,2025-06-14,260,0,0.07,19,0.11,117.45
YEE-89415,Yeezy,Gel-Lyte III,Bred,198,2024-05-16,654,1,-0.57,3,0.91,506.08
YEE-72886,Yeezy,550,UNC,220,2026-02-03,26,1,-0.5499999999999999,2,0.5,345.89
NIK-24794,Nike,Air Max 90,UNC,108,2025-03-11,355,1,0.8,2,0.15,279.43
NIK-65906,Nike,Dunk Low,Bred,162,2024-06-19,620,0,-0.97,7,0.51,187.77
ADI-70436,Adidas,Dunk Low,Triple Black,156,2024-01-25,766,0,-0.4,5,0.31,162.94
ASI-47141,Asics,Jordan 1 Retro,Triple Black,144,2025-08-04,209,0,0.76,6,0.01,200.58
NEW-36771,New Balance,Gel-Lyte III,Triple Black,169,2023-12-03,819,1,0.9500000000000001,1,0.34,777.33
NIK-16968,Nike,Dunk Low,Mocha,171,2024-02-01,759,0,0.62,5,0.79,199.57
JOR-58052,Jordan,550,Mocha,228,2024-05-21,649,0,-0.67,13,0.47,243.75
ADI-49106,Adidas,Jordan 1 Retro,Panda,150,2023-08-29,915,0,0.98,6,0.6,231.66
ASI-97849,Asics,Jordan 1 Retro,Triple White,100,2023-07-05,970,0,0.29,19,0.72,85.62
NIK-39676,Nike,Jordan 4,Panda,137,2024-07-24,585,0,-0.35,13,0.1,168.41
ADI-86303,Adidas,Dunk Low,Bred,143,2024-07-14,595,1,1.0,2,0.69,396.53
ADI-69956,Adidas,Air Max 90,Triple White,155,2023-07-15,960,1,1.0,1,0.41,596.79
NIK-51383,Nike,Air Max 90,UNC,152,2025-08-15,198,0,-0.36,11,0.83,213.01
JOR-63971,Jordan,Air Max 90,Mocha,193,2025-07-27,217,0,-0.0,12,0.99,236.17
ADI-22811,Adidas,Gel-Lyte III,Triple Black,138,2025-07-03,241,0,-0.35,5,0.75,147.89
YEE-70200,Yeezy,Dunk Low,Panda,209,2023-06-06,999,0,-0.27,14,0.38,299.37
YEE-85568,Yeezy,Dunk Low,Triple White,191,2023-07-07,968,1,0.30000000000000004,3,0.53,858.99
ADI-94765,Adidas,Jordan 4,Panda,150,2023-08-19,925,1,0.35000000000000003,2,0.11,699.61
ASI-97068,Asics,Air Max 90,Bred,150,2025-03-10,356,0,-0.21,5,0.73,126.49
NIK-74836,Nike,Air Max 90,Triple White,177,2025-10-06,146,1,0.98,3,0.15,320.88
YEE-86007,Yeezy,Jordan 4,Panda,235,2025-09-15,167,0,0.02,13,0.2,265.17
